text,score
"स्वतः,अपनेआप,ख़ुद-ब-ख़ुद,ख़ुदबख़ुद,खुद-ब-खुद,खुदबखुद",1
"अतिशीघ्र,अतिशीघ्रतः,जल्द_से_जल्द,जल्दी_से_जल्दी",0
"अतिशीघ्र,अतिशीघ्रतः,जल्द_से_जल्द,जल्दी_से_जल्दी",0
"खुलेआम,खुलकर,सरेआम,सरे-आम,खुले-आम,खुल्लम-खुल्ला,खुल्लमखुल्ला,डंके_की_चोट_पर,सरे_आम,अगुप्ततः",1
"बहुत,अधिक,ज्यादा,ज़्यादा,ख़ूब,खूब,अतिशय,अति,अगाध,अतीव,काफ़ी,काफी,अंबोह,अनल्प,अनून,अन्यून,अबेश",1
"अग्रतः,आगे",0
"पास_में,नज़दीक,नजदीक,निकट_में,क़रीब_में,समीप,निकट,पास,क़रीब,करीब,सन्निकट",0
"पूर्व_काल_में,पहले",0
दृश्य,-1
"भविष्य_में,आगे,भविष्य_काल_में,अगत्या",0
ऊपर,0
"विस्तारपूर्वक,विस्तार_से",0
"अन्यत्र,कहीं_और,अनत",0
"बंधन,बद्धी,अनुबंध,अनुबन्ध,बन्धन,अनुबन्ध,अलान,आलान",1
"लगातार,अनवरत,निरंतर,निरन्तर,ताबड़तोड़,दनादन,सतत,धूआँधार,अनंतर,अनन्तर,अनिश,प्रतिक्षण,अनुक्षण,धड़ाधड़,अविरत",1
"कठिनाई_से,जैसे_तैसे,मुश्किल_से,कठिनतः",-1
"शैक्षिक,तालीमी,इल्मी",0
"परिवर्तन_करना,बदलना,बदल_देना",0
"छोड़ना,त्यागना",0
"सुपाच्य,सहज_पाच्य,हलका,हल्का,पथ्य",0
"सोचना,विचारना,देखना,सोंचना,अनुसंधानना,अनुसन्धानना",1
"पोषित_करना,जीवित_रखना,पालित_करना",1
अल्बानियाई,0
अमहैरिक,0
"लाड़_करना,लाड़_करना,दुलार_करना,दुलारना,प्यार_करना",1
"पकड़ना,थामना,धरना,गहना",1
"ढुलाई,ढोवाई",0
"बटना,ऐंठना,पूरना,भाँजना,बँटना",0
"सहलाना,सोहराना,सुहलाना,सुहराना",0
पोतना,0
"दबाना,गाड़ना",0
मिशन,0
कँधियाना,0
"टकराना,भिड़ाना",0
"धूल,धूलि,धूर्रा,रज,गर्द,गुबार,रेणुका",-1
रेतना,0
"रबड़,रबर",0
"नक्काशीदार,नक्क़ाशीदार",0
"उतारना,उधेड़ना,उचाड़ना",-1
"मोहर,मुहर,मुद्रा,स्टांप,अंकक,स्टैंप,स्टैम्प,सील,छापा",1
"तह_करना,दुहराना,दोहराना,दोहरा_करना,दुसराना",0
"छानना,छाँदना",0
"प्रेमासक्त,अनुरक्त,अनुरागी,आसक्त,दीवाना,फ़िदा,फिदा,छोही,अनुरागयुक्त,प्रेमयुक्त,अनुरत,अनुशयी,रंजित,रंञ्जित,अभिरंजित,अभिरञ्जित,अनुरंजित,अनुरञ्जित,अभिरत",1
खोलना,0
"लंगर,लांगल",0
पंजा,0
"खोजना,खोज_करना,ढूँढ़ना,ढूँढना,तलाशना,पता_लगाना,छानना,देखना",0
"हत्या,खून,ख़ून,कत्ल,क़त्ल,वध,हनन,घात,अपघात,विघात",-1
"सनई,सन",0
"आच्छादित,ढँका,आवृत्त,अपिबद्ध,अपिनद्ध,अपिहित,आच्छन्न",0
मढ़ना,0
"खपड़ा,खपरा,खपड़ैल,खपरैल,खप्पर,खप्पड़,टाइल,टॉइल",0
"अटकाना,अड़ाना,फँसाना,अड़काना,उलझाना",-1
"खुलना,खुल_जाना",0
"उढ़काना,भिड़ाना",1
"निचोड़ना,गारना",0
खोलना,0
"स्क्रू,पेंच,पेच,कुल्फ़ी,कुल्फी,कुलफ़ी,कुलफी",-1
"स्क्रू,पेंच,पेच,कुल्फ़ी,कुल्फी,कुलफ़ी,कुलफी",-1
तूमना,0
"गूथना,गूँथना,गूंथना,पिरोना:2,पिरोहना,पोहना,नाधना,नाँधना",-1
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
चढ़ाना,0
ठुकराना,-1
ठुकराना,-1
"वर्षा,वृष्टि",0
"उलटना,पलटना",0
"फैलाना,बढ़ाना,प्रसारित_करना,विस्तृत_करना,प्रसार_करना",1
"अरमेनियाई,अर्मेनियाई,अरमेनियन,अर्मेनियन,अरमेनियाई_लिपि,अर्मेनियाई_लिपि,अरमेनियाई-लिपि,अर्मेनियाई-लिपि",0
मासिक,0
"साप्ताहिक,हफ्तेवार",0
"प्रतिदिन,हरदिन,नित्य,हररोज़,रोज़,नित,रोज,रोज़ाना,रोजाना,अनुदिन,नित्यप्रति,अनुदिवस",1
"लज्जाशील,लजाऊ,झेंपू,लज्जावान,शरमाऊ,शरमीला,शर्मीला,लजालू,लजाधुर,लज्जालु,लजीला,शरमालू,अप्रतिभ",-1
"अविलंब,अविलम्ब",0
"बुहारना,झाड़ू_देना,झाड़ू_लगाना,बहारना",0
"हिटलर,एडोल्फ_हिटलर",0
"कोलाहल,शोरग़ुल,शोरगुल,शोरशराबा,शोर-शराबा,हल्लागुल्ला,हल्ला-गुल्ला,शोर,हंगामा,हल्ला,खलबल,खल-बल,चिल्लमचिल्ला,सोर,चिल्लपों,चिल्लपौं",-1
"आघात,चोट,वार,प्रहार,घात,व्याघात,विघात,अभिघात",-1
"मथना,बिलोना,मंथन_करना,बिलोड़ना,गाहना",-1
"काँपना,कँपना,कंपित_होना,कंपन_होना,थरथराना,सिहरना,थर-थर_करना,थरथर_करना",-1
चाटना,0
"भाषण_देना,बोलना,वक्तव्य_देना",0
करना,0
"रेताना,कटना",0
"गड़ाना,चुभाना,सालना,कोंचना,गड़ोना",1
काटना,-1
कुतरना,0
"अविलंब,अविलम्ब",0
"घुमाना,घुमा_देना,मोड़ना,मोड़_देना",0
"खींचना,खीचना",0
घसीटना,-1
घिसटना,0
"लहराना,फहराना,फरफराना,उड़ाना",-1
"बिछुड़ना,बिलगना,छूटना,छूट_जाना,विलग_होना,अलग_होना",-1
"टाँगना,टांगना,लटकाना",0
"लटकना,झूलना",0
"बंडल,गाँठ,पुलिंदा",0
"काम_करना,कार्य_करना,करना",0
"जुआ,जूआ,जुआठ,जुआठा,युग,जूड़,माची",1
"कुश्ती,मल्ल_युद्ध,मल्लयुद्ध,लड़ाई",-1
"संघर्ष,जंग,लड़ाई,द्वंद्व,द्वन्द्व",-1
"फेंकना,अधिक्षेपण,अधिक्षेप",0
तानना,0
"घूमना,चक्कर_खाना,घूर्णित_होना,नाचना",0
"धागा,तागा,सूत,डोरा,डोर,सूता,सूत्र,तन्तु,तंतु,तंत्र",0
"चाबी_देना,कूकना",0
छापना,0
"छुड़ाना,छोड़ाना",0
"धोना,फींचना,छाँटना",0
धरना,-1
"खड़ा_होना,उठना",0
"वृद्धि,बढ़ती,बढ़ोतरी,बढ़त,प्रवर्धन,प्रवर्द्धन,चढ़ाव,इज़ाफ़ा,इजाफा,अभिवृद्धि",0
चीरा,0
"उत्कीर्ण_करना,खोदना,उकेरना",0
"चुन्नी,चुनी",0
"उन्मुक्त,आज़ाद,आजाद,खुला,बंधनमुक्त,मुक्त,अजाद,अनिबद्ध,मुंच,बन्धनमुक्त,अबद्ध,वीत",1
"जीतना,विजय_पाना,विजयी_होना",1
"लगाना,जमाना,रोपना",0
जकड़ना,0
"कृतज्ञ,एहसानमंद,अहसानमंद,आभारी,शुक्रगुज़ार,शुक्रगुजार,उपकृत,अनुगृहीत",1
"भिड़ना,पिलना",-1
"भिगोना,भिगाना,भिंगाना,भिजाना,भिंजाना",-1
"मुड़ना,घूमना",0
"छुड़ाना,छोड़ाना",0
"निर्णीत,निर्णित,निपटा_हुआ,तय,तयशुदा",-1
"घिरना,घेराना",0
बेआराम,-1
चीरा,0
"बिछाना,डालना",0
"बोझ,भार",-1
"काँटा,कांटा",0
"बजाज,बज़्ज़ाज़,बज़ाज़",0
"उलटना,पलटना",0
"उजाड़ना,उजाड़_देना,नष्ट_करना,ख़ाक_करना,नाश_करना,मिटाना,चौपट_करना",-1
"मारना,पीटना,प्रहार_करना,ठोंकना,ठोकना,पीटाई_करना,धुनना,धुनाई_करना,ताड़ना,प्रताड़ना,रसीद_करना",-1
"निकालना,आविष्कार_करना,खोज_निकालना,ईज़ाद_करना,ईजाद_करना,आविष्कृत_करना",0
"कहना,बदना,बोलना",1
छक्का,0
"रजाई,रज़ाई,लिहाफ,लिहाफ़",0
"बुनना,बीनना,बिनना,बुनाई_करना",0
गोदना,0
"गढ़ना,बनाना,सरजना,सिरजना,आकार_देना,रूप_देना",1
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
"रचना,लिखना",0
"उतारना,प्रतिरूप_बनाना,नकल_करना,नक़ल_करना",0
"कहना,सुनाना",0
"रचना,लिखना",0
फिल्म,0
करना,0
"अभिनय_करना,रोल_करना",0
"खिलौना,खेलवाड़,खिलवाड़",-1
"एकमात्र,एकलौता,इकलौता",0
"उन्नत,प्रोन्नत,विकसित,सुविकसित",1
प्रकाशित_करना,0
"छपना,मुद्रित_होना",0
"पक्षीय,खगीय,पक्षी_संबंधी,विहंगी,विहंगीय",1
"अजरबैजानी,अज़रबैजानी,अजरबैजान_वासी,अज़रबैजान_वासी,अजरबैजान-वासी,अज़रबैजान-वासी",0
"प्रति,कापी,कॉपी",0
"बनाना,तैयार_करना,निर्माण_करना,रचना",1
"जलाना,प्रज्वलित_करना",0
"लुब्ध_होना,लुभना,मन_डोलना",-1
"ओसाई,गाहाई,डाली",0
पड़ना,0
"खीज,झुँझलाहट,कुढ़न,भँड़ास,खुंदक,खीस,अनख",-1
"प्रभावित_करना,प्रभाव_डालना,असर_करना,रंग_जमाना,रंगना,छाना",0
"प्रेम,अनुराग,प्यार,मुहब्बत,इश्क़,इश्क,लगन,प्रीति,अनुरंजन,अनुरन्जन,राग,अनुरंजन",1
"जैसा,सरिखा,जस",1
अनुष्ठान,0
"भय,खौफ,ख़ौफ़,डर,त्रास,भीति,संत्रास,अपभय,दहशत",-1
"भयभीत,डरा_हुआ,डरा,कातर,आतंकित,ख़ौफ़ज़द,भयग्रस्त,भयान्वित,भीत,अपत्रस्त,दहशतज़दा,दहशतजदा",-1
"सकपकाना,चकपकाना,भौंचक्का_होना,भौचक्का_होना,चौंकना",0
"दाँना,दाना,दांवना,दांना,दाँवना",0
मरना,-1
"क्रोध,गुस्सा,आक्रोश,कोप,रोष,खुन्नस,खुनस,अमर्ष,अनखाहट,क्षोभ",-1
"खीजना,झुँझलाना,खिजलाना,खिजना,कुढ़ना",-1
"छीलना,छोलना",0
"पछताना,पश्चाताप_करना,अछताना-पछताना,अफ़सोस_करना,अफसोस_करना,अपसोसना",-1
"खलना,बुरा_लगना,अखरना",-1
"विलाप_करना,कलपना,बिलखना",-1
"सोचना,दुखी_होना,सोंचना,अनमनाना",1
"उदास_होना,अनमनाना",0
"चिंताजनक,गंभीर,चिंतनीय,नाजुक,शोचनीय,सोचनीय,नाज़ुक",-1
गुदगुदाना,-1
"संतुष्ट_करना,तृप्त_करना,तुष्ट_करना,तोषणा",1
"नाराज़,रुष्ट,कुपित,खिन्न,अप्रसन्न,नाख़ुश,ख़फ़ा,नाराज,खफा,नाखुश,उदास,अनाह्लाद,अप्रतीत",-1
अहकना,0
"जलना,ईर्ष्या_करना,द्वेष_करना,डाह_करना,कुढ़ना",-1
तरसना,0
"उड़ना,उड़ान_भरना",0
"सँभालना,संभालना,सम्हालना,सहेजना",1
देखना,0
"पर्यटन,सैरसपाटा,सैर-सपाटा,सैर,परिभ्रमण",0
ताल,0
"उड़ना,उड़ान_भरना",0
"द्रवित,द्रवीभूत,दयार्द्र",0
"रुकना,ठहरना,रहना",0
लोटना,0
बहना,0
"हिलना,डोलना",0
"टहलना,घूमना,विचरना,सैर_करना",-1
"गेंद,बाल,बॉल",0
"थरथराना,थर्राना,थरहराना,दहलना,काँपना,कंपित_होना,कंपन_होना",-1
"धड़कना,स्पंदित_होना",0
"झलना,डुलाना,हिलाना,डोलाना",-1
हिलना,0
"झटकना,झटकारना",1
"फेंटाई,फेंट",0
"नर्तक,नृतक",0
"टहलना,घूमना,विचरना,सैर_करना",-1
"टहलना,घूमना,विचरना,सैर_करना",-1
"मुड़ना,घूमना",0
ठिठकना,0
"लाँघना,नाँधना,लांघना,नांधना,फाँदना,डाँकना,फांदना,डांकना",-1
पथराना,0
"लँगड़ाना,लँगड़ाहट,लँगड़ापन,भचक",-1
"लाँघना,नाँधना,लांघना,नांधना,फाँदना,डाँकना,फांदना,डांकना",-1
भटकना,0
"चलाना,चालित_करना,चालू_करना,गत्वरित_करना",1
"चालक,ड्राइवर",0
"दूधिया,दुधिया",0
"बेलरसी,बेलरसी_भाषा,बेलरसी-भाषा",0
जैविक,1
"वानस्पतिक,वनस्पतीय",0
"सुलझा,उलझनहीन",0
"पंक्ति,क़तार,कतार,अवली,श्रेणी,शृंखला,पंगती,पंगत,पांत,ताँता,ताँती,लाइन",0
"दूसरी_ओर_ले_जाना,विपरीत_दिशा_में_ले_जाना,डाइवर्ट_करना",0
जलना,0
"तैराकी,पैराकी,तैराई,पैराई",0
चढ़ना,0
"डूबना,ढलना,अस्त_होना,अस्तगत_होना",-1
"पतन,अवनति,अधोपतन,अधोगमन,अधोगति,अपकर्षण,अधःपतन,अधःपात,अपध्वंस,अपभ्रंश,गिराव,अभिपतन,च्युति",-1
"रीफ,रीफ़",0
गिरना,-1
उतरना,-1
"निर्णीत,निर्णित,निपटा_हुआ,तय,तयशुदा",-1
"धँसना,धसकना,धँसकना,बैठना",0
"भुगतान_कृत,अदा,चुकाया_हुआ,चुकता",1
"अगला,दूसरा",0
पकड़ना,0
"भुजा,हाथ,बाज़ू,हस्त,बाँह,कर,बाहु,बाजू",1
"पीछा_करना,पछियाना,पीछे_लगना",-1
"पहुँचना,मिलना",1
पहुँचना,0
"पकड़ना,लेना",0
"जलाना,प्रज्वलित_करना",0
"अधिवेशन,बैठक,जलसा,सभा,महफ़िल,महफिल,मजलिस,अंजुमन,मण्डली,मंडली,इजलास",0
"जागना,जगना,आँख_खोलना,सोकर_उठना,उठना",1
"बचाना,रखना",1
"धाय,धाय_माँ,दाई,धाई,धात्री,अन्ना,मातृका",0
"बाढ़,जल-प्लावन,सैलाब,प्लावन,प्लव",-1
सूखना:1,0
सूखना:1,0
"झुलसन,झुरसन,झौंस",0
"बढ़ाना,साथ_देना,सहारा_देना",1
छँटना,0
"बनवाना,तैयार_करवाना,निर्माण_करवाना",1
"विकसित_होना,फैलना",0
"मोबाइल,सेलफोन,सेल,मोबाइल_फोन,मोबाइल_फ़ोन,चल_दूरभाष",0
"दिमाग़ी,दिमागी",0
"रासायनिक,रसायनिक",0
"किनारेदार,कोरदार,किनारीदार",0
"शहरी,नगरीय,नागरिक,शहरुआ,शहरुवा",0
"विकसित_होना,फैलना",0
"टूटना,उतरना",-1
"चाकना,हद_बाँधना,हद_बांधना",0
सिकुड़ना,-1
"रीफ,रीफ़",0
औपनिवेशिक,0
"संवैधानिक,संविधानीय,वैधानिक,विधानीय",0
"अभ्यस्त,आदी",1
"दंत्य,दंतीय,दंत_विषयक",0
"सुपाच्य,सहज_पाच्य,हलका,हल्का,पथ्य",0
"पचित,पचा,हज़म,हज़्म,हजम,हज्म,पक्व,परिपक्व",1
"रुंडित,रुण्डित",0
"अकारण,बेमतलब,निष्कारण,कारणहीनतः,अनिमित्त",-1
"भारी,वजनी,बोझल,बोझिल,वज़नी,बोझैल",-1
"दूभर,दुर्भर",-1
"अकारण,बेमतलब,निष्कारण,कारणहीनतः,अनिमित्त",-1
"भीषण,भयानक,अत्यधिक,घनघोर,भारी",-1
पकाना,0
किशोर,0
फूलना,1
"प्रसारित_होना,फैलना",0
"बिगाड़ना,खराब_करना",0
बैठना,0
भरना,-1
फुलाना,0
अर्थशास्त्रीय,0
"सम्पादकीय,संपादकीय",1
"ई-मेल,ईमेल,ई_मेल,ई-पत्र,ईपत्र,ई_पत्र",0
"स्टोनियाई,स्टोनिआई,स्टोनियाई_भाषा,स्टोनिआई_भाषा,स्टोनियाई-भाषा,स्टोनिआई-भाषा",0
"अभिजात,अभिजात्य,उच्च_वंशीय,उच्च_कुलीन",0
अभ्यस्त_होना,1
"अँगड़ाना,अँगड़ाई_लेना,अंगड़ाना,अंगड़ाई_लेना",-1
"रंगरेज,रंगरेज़,रङ्गरेज़,रङ्गरेज,रँगिया,रंजक,रञ्जक,रंगरेज़ा,रङ्गरेजा,रंगाजीव,रङ्गाजीव,रंगसाज़,रंगसाज,रङ्गसाज़,रङ्गसाज,रंगभरिया,रंगावतारक,रङ्गावतारक,लिलारी",0
छोड़ना,-1
"मुसकान,मुस्कान,मुस्कुराहत,मुस्कराहट,मुसकुराहट,मुसकराहट",1
"तन्दुरुस्त_बनाना,तंदुरुस्त_बनाना,स्वस्थ_बनाना,भला-चंगा_बनाना,चंगा_बनाना",0
शून्य,0
शून्य,0
"खिलखिलाना,खिल_खिल_करना,ठट्ठा_लगाना",1
फूटना,0
"निराना,सोहना,नींदना,निराई_करना,निंदाई_करना,निकाना",0
"बढ़ाना,लंबा_करना,लम्बा_करना",1
"भुनना,भुँजना,भुंजना",0
"मूसर,मूसल,मुशल,गाकील",1
"दिखाना,दिखलाना",-1
"खंडनीय,भंजनीय",0
"अध्याय,पाठ,परिच्छेद,अनुच्छेद",1
"कूटना,कुटाई_करना",0
"फूँकना,फूंकना",0
"टलना,हटना,टरना",-1
उठाना,1
मरना,-1
"नहाना,स्नान_करना,अन्हाना",0
"घनिष्ठ_मित्र,अभिन्न_मित्र,जिगरी_दोस्त,जिगरी_यार,पक्का_दोस्त,अज़ीज़,अजीज",0
अधिज,0
"तिपहिया,तीनपहिया",0
"मानसिक,मनः,दिमाग़ी,दिमागी",1
"जन्म_लेना,जनमना,पैदा_होना,प्रसूत_होना,आना",0
रोकना,-1
"मूड़ना,मूँड़ना,मूंड़ना",0
गरम,0
"तपना,तप्त_होना,गरम_होना",1
"दागना,दाग़ना,निशान_लगाना,आँकना",-1
"फोड़ा,व्रण",0
"फोड़ा,व्रण",0
"बसना,रहना,निवास_करना",0
"तानना,खींचना,खीचना",0
"तानना,खींचना,खीचना",0
"पाखंड,ढोंग,आडंबर,ढकोसला,प्रपंच,आडम्बर,दिखावा,दिखावतीपन,बनावट,ताम-झाम,तामझाम,तमेला_झमेला,तमेला-झमेला,दिखावटीपन,तड़क_भड़क,चमक-दमक,ठाटबाट,ठाट,टीमटाम,टीम-टाम,अटब्बर,अड़ाड़ा,बाँकपन",-1
"फूँकना,फूंकना",0
फूटना,0
"उड़ना,गायब_होना,छू-मंतर_होना,उड़न-छू_होना,छूमंतर_होना,उड़नछू_होना",-1
"विलुप्त_होना,अदृश्य_होना,लुप्त_होना,ग़ायब_होना,मिटना",-1
चीरा,0
"रीफ,रीफ़",0
"सँवरना,सजना,बनना-ठनना,शृंगार_करना,सजना-धजना",0
टूटना,0
"रिक्त,ख़ाली,खाली,रीता,शून्य",-1
"पनिया,पनिहा,पनियाँ,पनीयल",0
"पूरक,संपूरक",-1
"अनुपम,अतुलनीय,अद्वितीय,अनोखा,असाधारण,लाजवाब,बेजोड़,निराला,न्यारा,अप्रतिम,अजोड़,अतुल,अतुलित,अद्वैत,एकल,अनन्यसाधारण,सर्वोकृष्ट,अनुत्तम,उपमारहित,अनुपमित,अकेला,अनुपमेय,अनूप,अपूर्व,वहीद,अप्रतिमान,अप्रतिरूप,अप्रतुल,अभूत",1
किण्वन_कराना,0
मिटाना,0
"सुपाच्य,सहज_पाच्य,हलका,हल्का,पथ्य",0
छींक,0
उठना,0
"सँभलना,संभलना,सम्हलना",1
"मानवीय,इंसानी,इन्सानी,पौरुषेय,मानुषिक,मानवी",0
आदर्शवादी,1
"उद्योगी,उद्यमी,उद्योग_कर्ता,उद्यम_कर्ता",1
संस्थागत,0
ओष्ठ्य,0
सड़ा,-1
झाड़ना,-1
"रौंद,रौंदाई",0
"जलाना,प्रज्वलित_करना",0
"जलाना,प्रज्वलित_करना",0
"झुलसना,झुरसना,झौंसना,झाँसना,भुँजना,भुनना,झांसना,भुंजना",-1
"खाँसी,खोंखी,कास,काश,कास_रोग,काश_रोग,धंगा,खांसी",-1
"जानना,समझना,बूझना",1
"जानना,ज्ञान_होना,ज्ञात_होना,मालूम_होना,अभिज्ञ_होना,परिचित_होना,आना",1
"जानना,समझना,बूझना",1
"जानना,समझना,बूझना",1
"प्रशिक्षित_करना,प्रशिक्षण_देना,योग्य_बनाना",0
"पढ़ना,अध्ययन_करना",0
"वयस्क,बालिग,सयाना,स्याना,अपोगंड,बालिग़",-1
"जानना,समझना,बूझना",1
"जानना,समझना,बूझना",1
उठना,0
अनुबोधक,0
भूलना,-1
"शाश्वत,नित्य,अविनाशी,सनातन,चिरस्थायी,चिरस्थाई,चिर-स्थायी,चिर-स्थाई,अविनासी,अकाल,अखीन,अच्युत,अनंत,अनन्त,अनाशी",1
तैयार,1
तैयार,1
"लिखवाना,लिखाना",0
"भुगतान_कृत,अदा,चुकाया_हुआ,चुकता",1
"घायल,जख्मी,ज़ख़्मी,आहत,क्षत,अपचायित,चोटिल,अभिप्रहत",-1
"जाँचना,जाँच_करना",0
परीक्षण,0
"अश्रुपूर्ण,डबडबा,डबकौंहाँ,डभकौंहाँ,अश्रुयुक्त,साश्रु,अश्रुपूरित",-1
"सिसकना,सिसकी_भरना,सिसकी_लेना,सुबकना,सुबकी_लेना",-1
"चुनवाना,चुनाना,छँटवाना,छंटवाना",0
शून्य,0
"अनुमति_दत्त,अनुमति_प्रदत्त,स्वीकृत",1
"पनिया,पनिहा,पनियाँ,पनीयल",0
"जलाना,प्रज्वलित_करना",0
"ग्रह,खग",0
रचना,0
"फूँकना,फूंकना",0
"चाहना,आशा_करना,अपेक्षा_करना,अपेक्षा_रखना,उम्मीद_करना",1
"पकड़ना,लेना",0
"साहुल,अधोलंब,अधोलम्ब,सौल,सौला",0
"स्थानीय,आंचलिक,स्थानिक,अंचलीय",0
"तिथि,चांद्र_दिवस,मिती",0
"मादरी,मातृक",0
चिकित्सीय,1
