Id,Sentiment,Text
60,positive,Must know that BJP is not untouchable. Also they are more honest and nationalistic than any from congress. If we dig deep in the history of congress we will find mountains instead of mole hills! - https://timesofindia.indiatimes.com/india/gehlot-tears-into-pilot-impeccable-english-personality-not-enough/articleshow/76989185.cms …
61,negative,"@NammaBESCOM No power from past 3 hours in BTM 2nd stage KAS Officer Colony .
@CMofKarnataka @BangaloreMirror why such #powercuts in Bangalore.
Is this a metropolitan city..!"
62,positive,"Bangalore Apexlegends I love youuu
#wipwednesdaypic.twitter.com/PPt0X3BpIb"
63,positive,If there is a will there is a way is the saying. Serum institute did not fail India. Hope that they will go forward to find out a vaccine for all humanity! -https://timesofindia.indiatimes.com/india/india-gets-its-first-desi-pneumonia-vaccine/articleshow/76988499.cms …
64,positive,Bangalore has more cases per day now than Delhi does. https://twitter.com/saahilmenghani/status/1283420277037096966 …
65,negative,Remember how Netaji Subhas Chandra Bose was treated when he won the party presidential elections against Achrya Kriplani and none made to work in the working committee. Forced Bose to quit the congress itself!! -https://timesofindia.indiatimes.com/india/i-am-not-joining-bjp-rumours-spread-by-rivals-to-malign-me-in-front-of-gandhis-pilot/articleshow/76989389.cms …
66,negative,"Make work from home mandatory, there will be less movements.Until IT parks are open, employees will be forced to go even if they fall in 10%.Bangalore is in a very http://shape.Help  the people under poverty line and below and roadside vendor and extend lockdown further."
67,neutral,@AirFranceIN there are flight for July 19 and 20 Bangalore. Are these repatriation flights as well ?
68,neutral,Apartment Housekeeping Bangalore @ http://bangalore.namanas.com/clad_5f0e46e019e52.html …
69,neutral,"Inde : L'État du Bihar reconfine à partir du 16 juillet pour deux semaines ses 125 millions d'habitants. Dans le Sud, les 13 millions d'habitants de la mégapole de Bangalore et de sa région sont reconfinés depuis mardi pour 10 jours.

{ Source France 24 }"
70,neutral,Axis bank credit card department no work from home we have to travel everywhere in bangalore... If corona happens only option suicide
71,positive,"I'm extremely ready for this next season of apex legend.
I'm not ready for everyone to suddenly be a bangalore main.

I hope it is anita's season, and I hope it brings good skins for her."
72,positive,"buff bangalore, psa i’m a bangalore main, she needs a re work
for one increase in double time to at least 4 seconds, her ult should drop faster and have a slightly larger area of effect, remove the stun effect when hit by her own ult as well as her teammates"
73,positive,Let%u2019s perform live and let%u2019s live. International waters is no one%u2019s absolute way and learn to practice tolerance and patience! Give way for universal utilisation of the water route! -https://timesofindia.indiatimes.com/world/us/us-rejects-beijings-claims-in-south-china-sea/articleshow/76969446.cms …
74,positive,"Slash the military budget.  Put in contemporary terms: defund it!
Enough is enough. It's time to cut the defense budget | Opinionhttps://www.newsweek.com/enough-enough-its-time-cut-defense-budget-opinion-1517243 …"
75,negative,"He's a savage on the field tho, guaranteed yellow every game https://twitter.com/QNco4/status/1283171133093826561 …"
76,neutral,Covid-19: Week-long lockdown comes into force in Bengaluru | Bengaluru News – Times of Indiahttps://bangalorenewstoday.com/top-news/covid-19-week-long-lockdown-comes-into-force-in-bengaluru-bengaluru-news-times-of-india/ …
77,positive,bangalore do be very hot ngl
78,neutral,May her soul Rest In Peace.
79,negative,"15/07/2020 05:06

Air Temperature: 23.7°C
Real Feel Temperature: 24.3°C
Relative Humidity: 84.3%
Water Vapor in 1kg of Air: 17.3g/kg
Dew Point: 20.9°C
Mean Sea Level Pressure: 1018.5mb
Actual Pressure: 914.2mb

#Bengaluru #Bangalore #ಬೆಂಗಳೂರು"
80,positive,"""...it doesn't matter what the judges think if Congress didn't act to change the treaties then the treaties are still in full force and effect.""
'Treaties are still in full force' https://indiancountrytoday.com/newscasts/treaties-are-still-in-full-force-3jIoxynfYUqoj6GbD4npJA … via @IndianCountry"
81,positive,"RT LauKaya: RT technology: Two weeks after India banned TikTok, a rival app based in Bangalore, Roposo, says it's adding new users at a peak of 500,000 an hour https://trib.al/EZYQ65Z "
82,neutral,Trump is one who needs caution and compassion for Honourable retirement from politics. -https://timesofindia.indiatimes.com/world/us/us-rescinds-order-denying-visas-for-foreign-students/articleshow/76969217.cms …
83,negative,"When reality bites it can really hit hard. Wear a mask!
Ohio Army veteran who refused to wear face mask dies of COVID-19 https://nypost.com/2020/07/13/ohio-army-vet-who-refused-to-wear-face-mask-dies-of-coronavirus/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @nypost"
84,neutral,@chairmanbwssb Is it going to be mandatory for the Apartments of Bangalore Urban to install water meter if they are using tanker water and not the Kavery water?
85,neutral,"Retweet if you're participating in the trend at this tym

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
86,neutral,"Speed up and just keep retweeting 

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
87,negative,"Hit retweet Button harder 
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
88,neutral,"Still 12 hrs 30 mins left
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
89,neutral,"Speed penchandi
30M kotteyachu
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
90,neutral,"Likes vaddu amma
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
91,neutral,"Only retweet please 
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
92,neutral,"Just retweet no likes

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
93,neutral,"Rt lu guddandi

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
94,neutral,"Ego lu vaddu
Just retweet 
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
95,negative,Spotting any celestial event in Bangalore is almost impossible! Today the sky had cleared up a bit but comet wasn't visible coz there were still clouds in the NW direction ... 
96,neutral,"Attendance at 5:20AM

@PawanKalyan || #VakeelSaab
#AdvanceHBDPawanKalyan"
97,neutral,"Again lockdown in Bangalore 
Starting from tommorow"
98,neutral,"Attendance time 
Retweet if you're online 

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
99,negative,"13.6M loading on few minutes 
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
100,neutral,"30M veseddama?

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
101,neutral,"Speed penchandi amma
Manam 30M veseddam

#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
102,neutral,"Marana mass trend ante ide
#VakeelSaab @PawanKalyan
#AdvanceHBDPawanKalyan"
103,negative,"3 Bedroom Apartment / Flat for rent in Akshaya Nagar, Bangalore https://goo.gl/fb/jmmpCE "
104,Positive,Bangalore City || 2020 || View & Facts || Karnataka || India || The Silicon Valley of India
105,neutral,
106,positive,"They had said that in their personal opinion lockdown for 15 days would be good, as that much time is required to break the chain.Earlier on Friday, CM Yediyurappa had asserted that lockdown was not the solution for controlling COVID-19 and made it clear that there was no proposal before the government to extend it."
107,positive,"They had said that in their personal opinion lockdown for 15 days would be good, as that much time is required to break the chain.Earlier on Friday, CM Yediyurappa had asserted that lockdown was not the solution for controlling COVID-19 and made it clear that there was no proposal before the government to extend it.A night curfew has been enforced. The timing of the night curfew is 9 pm to 5 am.All business entities, malls are allowed to remain open. However, these business entities and malls are allowed to open outside containment zones.Eateries, saloons and parks are allowed to open.Public and private transport services are allowed to remain open operational.Bangalore Metropolitan Transport Corporation (BMTC) has announced that it will operate its services from Wednesday for general public. BMTC will be operating 1500 services in Bangalore city on major routes between 6am to 8pm, excluding containment zones. However, passengers without face masks would not allowed on the buses, the BMTC said.Large markets such as Pete areas, Kalasipalya Market and KR Market will remain closed.Schools, colleges, cinema halls, swimming polls, gyms, bar and restaurants will remain closed.In Bagalkote 808 coronavirus case are there, in Ballari, there are 2,855 COVID19 cases, Belagavi has 1,096, Bengaluru Rural 940, Bengaluru Rural 33,941, Bidar 1,469, Chamarajanagara 364, Chikkaballapura 981, Chikkamagaluru 404, Chitraguda 269, Dakshin Kannada 3,829, Devanagere 975, Dharwad 2,329, Gadag 631, Hassan 1,059, Haveri 533, Kalaburagi 2,966, Kodagu 281, Kolar 630, Koppal 558, Mandya 923, Mysuru 1,908, Raichur has 1,003, Ramanagara has 516, Shivamogga has 872, Tumakuru has 745, Udupi has 2,405, Uttara Kannada 1,272, Vijayapura has 1,758, and Yadgir has 1,713.There are a number of coronavirus helpline numbers in the state. For ambulance, you need to call 108. For telemedicine, you need to call 14410. For grievances, you can call 1912. For General Health issues, you need to call 104.Also Read: Coronavirus cases in Bengaluru rising at rapid rate; To overtake Mumbai in three weeksThe Bruhat Bengaluru Mahanagara Palike (BBMP) has formed a special Covid Task Force in Bengaluru with an aim to strategise containment measures. The state government has decided that it would go ahead with the Karnataka Common Entrance Test (KCET) 2020. The KCET 2020 is scheduled to be held on July 30 and 31. Karnataka Deputy Chief Minister C N Ashwathnarayan has said that asymptomatic Covid-19 positive candidates will be allowed to appear in the Karnataka Common Entrance Test (KCET) 2020.Get live Stock Prices from BSE, NSE, US Market and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.Financial Express is now on Telegram. Click here to join our channel and stay updated with the latest Biz news and updates.HomeLIFESTYLEHEALTHBangalore lockdown Karnataka COVID-19 latest Sunday lockdown night curfew in capital state Check&nbsprulesAll business entities, malls are allowed to remain open. However, these business entities and malls are allowed to open outside containment zones.Eateries, saloons and parks are allowed to open.Public and private transport services are allowed to remain open operational.Bangalore Metropolitan Transport Corporation (BMTC) has announced that it will operate its services from Wednesday for general public. BMTC will be operating 1500 services in Bangalore city on major routes between 6am to 8pm, excluding containment zones. However, passengers without face masks would not allowed on the buses, the BMTC said.Large markets such as Pete areas, Kalasipalya Market and KR Market will remain closed.Schools, colleges, cinema halls, swimming polls, gyms, bar and restaurants will remain closed.In Bagalkote 808 coronavirus case are there, in Ballari, there are 2,855 COVID19 cases, Belagavi has 1,096, Bengaluru Rural 940, Bengaluru Rural 33,941, Bidar 1,469, Chamarajanagara 364, Chikkaballapura 981, Chikkamagaluru 404, Chitraguda 269, Dakshin Kannada 3,829, Devanagere 975, Dharwad 2,329, Gadag 631, Hassan 1,059, Haveri 533, Kalaburagi 2,966, Kodagu 281, Kolar 630, Koppal 558, Mandya 923, Mysuru 1,908, Raichur has 1,003, Ramanagara has 516, Shivamogga has 872, Tumakuru has 745, Udupi has 2,405, Uttara Kannada 1,272, Vijayapura has 1,758, and Yadgir has 1,713.There are a number of coronavirus helpline numbers in the state. For ambulance, you need to call 108. For telemedicine, you need to call 14410. For grievances, you can call 1912. For General Health issues, you need to call 104.Also Read: Coronavirus cases in Bengaluru rising at rapid rate; To overtake Mumbai in three weeksThe Bruhat Bengaluru Mahanagara Palike (BBMP) has formed a special Covid Task Force in Bengaluru with an aim to strategise containment measures. The state government has decided that it would go ahead with the Karnataka Common Entrance Test (KCET) 2020. The KCET 2020 is scheduled to be held on July 30 and 31. Karnataka Deputy Chief Minister C N Ashwathnarayan has said that asymptomatic Covid-19 positive candidates will be allowed to appear in the Karnataka Common Entrance Test (KCET) 2020.Get live Stock Prices from BSE, NSE, US Market and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.Financial Express is now on Telegram. Click here to join our channel and stay updated with the latest Biz news and updates.HomeLIFESTYLEHEALTHBangalore lockdown Karnataka COVID-19 latest Sunday lockdown night curfew in capital state Check&nbsprules"
108,positive,"They had said that in their personal opinion lockdown for 15 days would be good, as that much time is required to break the chain.Earlier on Friday, CM Yediyurappa had asserted that lockdown was not the solution for controlling COVID-19 and made it clear that there was no proposal before the government to extend it.A night curfew has been enforced. The timing of the night curfew is 9 pm to 5 am.All business entities, malls are allowed to remain open. However, these business entities and malls are allowed to open outside containment zones.Eateries, saloons and parks are allowed to open.Public and private transport services are allowed to remain open operational.Bangalore Metropolitan Transport Corporation (BMTC) has announced that it will operate its services from Wednesday for general public. BMTC will be operating 1500 services in Bangalore city on major routes between 6am to 8pm, excluding containment zones. However, passengers without face masks would not allowed on the buses, the BMTC said.Large markets such as Pete areas, Kalasipalya Market and KR Market will remain closed.Schools, colleges, cinema halls, swimming polls, gyms, bar and restaurants will remain closed.In Bagalkote 808 coronavirus case are there, in Ballari, there are 2,855 COVID19 cases, Belagavi has 1,096, Bengaluru Rural 940, Bengaluru Rural 33,941, Bidar 1,469, Chamarajanagara 364, Chikkaballapura 981, Chikkamagaluru 404, Chitraguda 269, Dakshin Kannada 3,829, Devanagere 975, Dharwad 2,329, Gadag 631, Hassan 1,059, Haveri 533, Kalaburagi 2,966, Kodagu 281, Kolar 630, Koppal 558, Mandya 923, Mysuru 1,908, Raichur has 1,003, Ramanagara has 516, Shivamogga has 872, Tumakuru has 745, Udupi has 2,405, Uttara Kannada 1,272, Vijayapura has 1,758, and Yadgir has 1,713.There are a number of coronavirus helpline numbers in the state. For ambulance, you need to call 108. For telemedicine, you need to call 14410. For grievances, you can call 1912. For General Health issues, you need to call 104.Also Read: Coronavirus cases in Bengaluru rising at rapid rate; To overtake Mumbai in three weeksThe Bruhat Bengaluru Mahanagara Palike (BBMP) has formed a special Covid Task Force in Bengaluru with an aim to strategise containment measures. The state government has decided that it would go ahead with the Karnataka Common Entrance Test (KCET) 2020. The KCET 2020 is scheduled to be held on July 30 and 31. Karnataka Deputy Chief Minister C N Ashwathnarayan has said that asymptomatic Covid-19 positive candidates will be allowed to appear in the Karnataka Common Entrance Test (KCET) 2020.Get live Stock Prices from BSE, NSE, US Market and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.Financial Express is now on Telegram. Click here to join our channel and stay updated with the latest Biz news and updates.HomeLIFESTYLEHEALTHBangalore lockdown Karnataka COVID-19 latest Sunday lockdown night curfew in capital state Check&nbsprulesAll business entities, malls are allowed to remain open. However, these business entities and malls are allowed to open outside containment zones.Eateries, saloons and parks are allowed to open.Public and private transport services are allowed to remain open operational.Bangalore Metropolitan Transport Corporation (BMTC) has announced that it will operate its services from Wednesday for general public. BMTC will be operating 1500 services in Bangalore city on major routes between 6am to 8pm, excluding containment zones. However, passengers without face masks would not allowed on the buses, the BMTC said.Large markets such as Pete areas, Kalasipalya Market and KR Market will remain closed.Schools, colleges, cinema halls, swimming polls, gyms, bar and restaurants will remain closed.In Bagalkote 808 coronavirus case are there, in Ballari, there are 2,855 COVID19 cases, Belagavi has 1,096, Bengaluru Rural 940, Bengaluru Rural 33,941, Bidar 1,469, Chamarajanagara 364, Chikkaballapura 981, Chikkamagaluru 404, Chitraguda 269, Dakshin Kannada 3,829, Devanagere 975, Dharwad 2,329, Gadag 631, Hassan 1,059, Haveri 533, Kalaburagi 2,966, Kodagu 281, Kolar 630, Koppal 558, Mandya 923, Mysuru 1,908, Raichur has 1,003, Ramanagara has 516, Shivamogga has 872, Tumakuru has 745, Udupi has 2,405, Uttara Kannada 1,272, Vijayapura has 1,758, and Yadgir has 1,713.There are a number of coronavirus helpline numbers in the state. For ambulance, you need to call 108. For telemedicine, you need to call 14410. For grievances, you can call 1912. For General Health issues, you need to call 104.Also Read: Coronavirus cases in Bengaluru rising at rapid rate; To overtake Mumbai in three weeksThe Bruhat Bengaluru Mahanagara Palike (BBMP) has formed a special Covid Task Force in Bengaluru with an aim to strategise containment measures. The state government has decided that it would go ahead with the Karnataka Common Entrance Test (KCET) 2020. The KCET 2020 is scheduled to be held on July 30 and 31. Karnataka Deputy Chief Minister C N Ashwathnarayan has said that asymptomatic Covid-19 positive candidates will be allowed to appear in the Karnataka Common Entrance Test (KCET) 2020.Get live Stock Prices from BSE, NSE, US Market and latest NAV, portfolio of Mutual Funds, calculate your tax by Income Tax Calculator, know market’s Top Gainers, Top Losers & Best Equity Funds. Like us on Facebook and follow us on Twitter.Financial Express is now on Telegram. Click here to join our channel and stay updated with the latest Biz news and updates.HomeLIFESTYLEHEALTHBangalore lockdown Karnataka COVID-19 latest Sunday lockdown night curfew in capital state Check&nbsprulesJul 08, 2020Jul 02, 2020"
